dyError;dthetaError;dkappaError;vrotError;vRotKappaError;vRotPosFilteredError;vRotPosUnfilteredError;vRotPosError;timeError
-0.00351713002815;-0.0189492162578;0.0;-0.00674900660656;0.0;-0.0131590311276;-0.0178781923462;-0.00674900660656;1490978239.41
-0.00351713002815;-0.0189492162578;0.0;-0.00668855493408;0.0;-0.0132191210286;-0.0178781923462;-0.00668855493408;1490978239.43
-0.00351713002815;-0.0189492162578;0.0;-0.0066418936509;0.0;-0.0132946194468;-0.0178781923462;-0.0066418936509;1490978239.45
-0.00351713002815;-0.0189492162578;0.0;-0.00661020459437;0.0;-0.0133878567922;-0.0178781923462;-0.00661020459437;1490978239.47
-0.00351713002815;-0.0189492162578;0.0;-0.00659404394614;0.0;-0.0135000017126;-0.0178781923462;-0.00659404394614;1490978239.49
-0.00351713002815;-0.0189492162578;0.0;-0.00658288204767;0.0;-0.0136168292444;-0.0178781923462;-0.00658288204767;1490978239.51
-0.00349534704259;-0.0185853104874;0.0;-0.00658755588036;0.0;-0.0137544810346;-0.0191836085567;-0.00658755588036;1490978239.53
-0.00349534704259;-0.0185853104874;0.0;-0.00660887860403;0.0;-0.0139127268935;-0.0191836085567;-0.00660887860403;1490978239.55
-0.00349534704259;-0.0185853104874;0.0;-0.00664541320887;0.0;-0.0140914128499;-0.0191836085567;-0.00664541320887;1490978239.57
-0.00349534704259;-0.0185853104874;0.0;-0.00669756061316;0.0;-0.014289839102;-0.0191836085567;-0.00669756061316;1490978239.59
-0.00349534704259;-0.0185853104874;0.0;-0.00676233652335;0.0;-0.0145065789578;-0.0191836085567;-0.00676233652335;1490978239.61
-0.00349534704259;-0.0185853104874;0.0;-0.00683750133252;0.0;-0.0147363301851;-0.0191836085567;-0.00683750133252;1490978239.63
-0.0034568490567;-0.0175438981339;0.0;-0.00692168991532;0.0;-0.0149803700208;-0.0186869788532;-0.00692168991532;1490978239.65
-0.0034568490567;-0.0175438981339;0.0;-0.00701434817818;0.0;-0.0152355976917;-0.0186869788532;-0.00701434817818;1490978239.67
-0.0034568490567;-0.0175438981339;0.0;-0.00711095023589;0.0;-0.0154985237463;-0.0186869788532;-0.00711095023589;1490978239.69
-0.0034568490567;-0.0175438981339;0.0;-0.00721016337637;0.0;-0.0157656554586;-0.0186869788532;-0.00721016337637;1490978239.71
-0.0034568490567;-0.0175438981339;0.0;-0.00730768573903;0.0;-0.0160336936938;-0.0186869788532;-0.00730768573903;1490978239.73
-0.0034568490567;-0.0175438981339;0.0;-0.00741305571654;0.0;-0.0163111912969;-0.0186869788532;-0.00741305571654;1490978239.75
-0.00487712145802;-0.0162159586462;0.0;-0.0075112400809;0.0;-0.0165822463109;-0.0192709443254;-0.0075112400809;1490978239.77
-0.00487712145802;-0.0162159586462;0.0;-0.00760184208175;0.0;-0.0168449109908;-0.0192709443254;-0.00760184208175;1490978239.79
-0.00487712145802;-0.0162159586462;0.0;-0.00768395711283;0.0;-0.0170978208845;-0.0192709443254;-0.00768395711283;1490978239.81
-0.00487712145802;-0.0162159586462;0.0;-0.00775611229635;0.0;-0.0173398626858;-0.0192709443254;-0.00775611229635;1490978239.83
-0.00487712145802;-0.0162159586462;0.0;-0.00781855973891;0.0;-0.0175700393515;-0.0192709443254;-0.00781855973891;1490978239.85
-0.00487712145802;-0.0162159586462;0.0;-0.00784997914765;0.0;-0.0177572521117;-0.0192709443254;-0.00784997914765;1490978239.87
-0.000846019500449;-0.00133381634015;0.0;-0.00786952408051;0.0;-0.0179316275387;-0.00267485682071;-0.00786952408051;1490978239.89
