vlReal;vrReal;vlDes;vrDes;vlDesLim;vrDesLim;vRotDes;vTransDes;timeVelocity
0.229;0.226;0.231330862538;0.227854957392;0.231330862538;0.227854957392;-0.00662077170615;0.229592909965;1490978240.03
0.229;0.226;0.231216161086;0.227969658845;0.231216161086;0.227969658845;-0.00618381379194;0.229592909965;1490978240.05
0.229;0.226;0.231088177243;0.228097642688;0.231088177243;0.228097642688;-0.00569625629541;0.229592909965;1490978240.07
0.229;0.226;0.230948492815;0.228237327116;0.230948492815;0.228237327116;-0.00516412514037;0.229592909965;1490978240.09
0.229;0.226;0.230798780313;0.228387039618;0.230798780313;0.228387039618;-0.00459379180054;0.229592909965;1490978240.11
0.229;0.226;0.2306355916;0.22855022833;0.2306355916;0.22855022833;-0.0039721205136;0.229592909965;1490978240.13
0.236;0.232;0.265985411761;0.264236701729;0.250773616884;0.248688253614;-0.00333087624984;0.265111056745;1490978240.15
0.236;0.232;0.265813809976;0.264408303514;0.265813809976;0.264408303514;-0.00267715516703;0.265111056745;1490978240.17
0.236;0.232;0.265640803251;0.264581310239;0.265640803251;0.264581310239;-0.00201808192936;0.265111056745;1490978240.19
0.236;0.232;0.265468219943;0.264753893547;0.265468219943;0.264753893547;-0.00136062170576;0.265111056745;1490978240.21
0.236;0.232;0.265297764317;0.264924349173;0.265297764317;0.264924349173;-0.000711266942048;0.265111056745;1490978240.23
0.236;0.232;0.26513318517;0.26508892832;0.26513318517;0.26508892832;-8.42987629666e-05;0.265111056745;1490978240.25
0.253;0.253;0.264973582327;0.265248531163;0.264973582327;0.265248531163;0.000523712067349;0.265111056745;1490978240.27
0.253;0.253;0.264820128127;0.265401985363;0.264820128127;0.265401985363;0.00110829949707;0.265111056745;1490978240.29
0.253;0.253;0.264674140661;0.265547972829;0.264674140661;0.265547972829;0.00166444222347;0.265111056745;1490978240.31
0.253;0.253;0.264536518354;0.265685595136;0.264536518354;0.265685595136;0.00218871767847;0.265111056745;1490978240.33
0.253;0.253;0.264408187178;0.265813926312;0.264408187178;0.265813926312;0.00267759835138;0.265111056745;1490978240.35
0.253;0.253;0.264287195615;0.265934917875;0.264287195615;0.265934917875;0.00313851858959;0.265111056745;1490978240.37
0.262;0.264;0.26417696971;0.26604514378;0.26417696971;0.26604514378;0.00355842680061;0.265111056745;1490978240.39
0.262;0.264;0.264077747527;0.266144365963;0.264077747527;0.266144365963;0.00393641606994;0.265111056745;1490978240.41
0.262;0.264;0.263989959382;0.266232154108;0.263989959382;0.266232154108;0.00427084709636;0.265111056745;1490978240.43
0.262;0.264;0.263913650092;0.266308463397;0.263913650092;0.266308463397;0.00456154915234;0.265111056745;1490978240.45
0.262;0.264;0.263848635144;0.266373478346;0.263848635144;0.266373478346;0.00480922514817;0.265111056745;1490978240.47
0.262;0.264;0.263863036362;0.266359077128;0.263863036362;0.266359077128;0.00475436336365;0.265111056745;1490978240.49
0.262;0.264;0.263877498383;0.266344615107;0.263877498383;0.266344615107;0.0046992699502;0.265111056745;1490978240.51
0.27;0.269;0.295184411516;0.297621932953;0.283988820786;0.286454745417;0.00464289797624;0.296403172234;1490978240.53
0.27;0.269;0.295199544064;0.297606800404;0.295199544064;0.297606800404;0.00458525017212;0.296403172234;1490978240.55
0.27;0.269;0.295215226325;0.297591118144;0.295215226325;0.297591118144;0.00452550822734;0.296403172234;1490978240.57
0.27;0.269;0.295231545565;0.297574798903;0.295231545565;0.297574798903;0.00446333969089;0.296403172234;1490978240.59
0.27;0.269;0.295248211998;0.29755813247;0.295248211998;0.29755813247;0.00439984851838;0.296403172234;1490978240.61
0.27;0.269;0.2952689093;0.297537435169;0.2952689093;0.297537435169;0.0043210016552;0.296403172234;1490978240.63
0.281;0.286;0.295289404849;0.29751693962;0.295289404849;0.29751693962;0.00424292337269;0.296403172234;1490978240.65
0.281;0.286;0.295310674168;0.2974956703;0.295310674168;0.2974956703;0.00416189739445;0.296403172234;1490978240.67
0.281;0.286;0.295332221877;0.297474122592;0.295332221877;0.297474122592;0.00407981088532;0.296403172234;1490978240.69
0.281;0.286;0.295354741555;0.297451602914;0.295354741555;0.297451602914;0.00399402163529;0.296403172234;1490978240.71
0.281;0.286;0.295378087995;0.297428256473;0.295378087995;0.297428256473;0.00390508281558;0.296403172234;1490978240.73
0.281;0.286;0.29540532874;0.297401015729;0.29540532874;0.297401015729;0.00380130854964;0.296403172234;1490978240.75
0.297;0.299;0.323723224164;0.325663590031;0.315467298497;0.317462747067;0.0036959349855;0.324693407098;1490978240.77
0.297;0.299;0.323751395144;0.325635419051;0.323751395144;0.325635419051;0.00358861696574;0.324693407098;1490978240.79
0.297;0.299;0.323780391382;0.325606422813;0.323780391382;0.325606422813;0.00347815510798;0.324693407098;1490978240.81
0.297;0.299;0.323810341312;0.325576472883;0.323810341312;0.325576472883;0.00336406013508;0.324693407098;1490978240.83
0.297;0.299;0.323841440848;0.325545373347;0.323841440848;0.325545373347;0.00324558571099;0.324693407098;1490978240.85
0.297;0.299;0.323875665627;0.325511148568;0.323875665627;0.325511148568;0.00311520560154;0.324693407098;1490978240.87
0.32;0.323;0.323910694788;0.325476119407;0.323910694788;0.325476119407;0.00298176117972;0.324693407098;1490978240.89
0.32;0.323;0.323946607001;0.325440207194;0.323946607001;0.325440207194;0.00284495274943;0.324693407098;1490978240.91
0.32;0.323;0.323983640901;0.325403173294;0.323983640901;0.325403173294;0.00270387122531;0.324693407098;1490978240.93
0.32;0.323;0.324021814842;0.325364999353;0.324021814842;0.325364999353;0.00255844668625;0.324693407098;1490978240.95
0.32;0.323;0.324061101006;0.32532571319;0.324061101006;0.32532571319;0.00240878511196;0.324693407098;1490978240.97
0.32;0.323;0.324100146395;0.3252866678;0.324100146395;0.3252866678;0.00226004077241;0.324693407098;1490978240.99
0.32;0.321;0.324140201974;0.325246612222;0.324140201974;0.325246612222;0.00210744809181;0.324693407098;1490978241.01
0.32;0.321;0.324182072352;0.325204741843;0.324182072352;0.325204741843;0.00194794188817;0.324693407098;1490978241.03
0.32;0.321;0.324223590605;0.325163223591;0.324223590605;0.325163223591;0.00178977711602;0.324693407098;1490978241.05
0.32;0.321;0.324265932771;0.325120881424;0.324265932771;0.325120881424;0.0016284736256;0.324693407098;1490978241.07
0.32;0.321;0.324308619597;0.325078194599;0.324308619597;0.325078194599;0.00146585714657;0.324693407098;1490978241.09
0.32;0.321;0.324351581815;0.32503523238;0.324351581815;0.32503523238;0.00130219155273;0.324693407098;1490978241.12
0.32;0.321;0.324394190193;0.324992624003;0.324394190193;0.324992624003;0.00113987392407;0.324693407098;1490978241.14
0.329;0.33;0.350451865294;0.350966060667;0.344400608421;0.344999042231;0.000979419757057;0.35070896298;1490978241.16
0.329;0.33;0.35049359713;0.350924328831;0.35049359713;0.350924328831;0.000820441335444;0.35070896298;1490978241.17
0.329;0.33;0.350534830051;0.35088309591;0.350534830051;0.35088309591;0.000663363540018;0.35070896298;1490978241.2
0.329;0.33;0.35057563044;0.350842295521;0.35057563044;0.350842295521;0.000507933488652;0.35070896298;1490978241.22
0.329;0.33;0.350615849167;0.350802076794;0.350615849167;0.350802076794;0.000354719290084;0.35070896298;1490978241.24
0.329;0.33;0.350652645851;0.35076528011;0.350652645851;0.35076528011;0.000214541444708;0.35070896298;1490978241.26
0.342;0.342;0.350688986141;0.35072893982;0.350688986141;0.35072893982;7.61022446777e-05;0.35070896298;1490978241.28
0.342;0.342;0.350724745072;0.350693180889;0.350724745072;0.350693180889;-6.0122253642e-05;0.35070896298;1490978241.3
0.342;0.342;0.350759825833;0.350658100127;0.350759825833;0.350658100127;-0.000193763249755;0.35070896298;1490978241.32
0.342;0.342;0.350794104186;0.350623821775;0.350794104186;0.350623821775;-0.000324347449263;0.35070896298;1490978241.34
0.342;0.342;0.350827464361;0.3505904616;0.350827464361;0.3505904616;-0.000451433830053;0.35070896298;1490978241.36
0.342;0.342;0.350854244761;0.3505636812;0.350854244761;0.3505636812;-0.000553454402563;0.35070896298;1490978241.38
0.35;0.349;0.375095402959;0.374751901009;0.370893564753;0.37060323961;-0.000654289427803;0.374923651984;1490978241.4
0.35;0.349;0.375121452509;0.374725851459;0.375121452509;0.374725851459;-0.000753525810367;0.374923651984;1490978241.42
0.35;0.349;0.375147029777;0.374700274191;0.375147029777;0.374700274191;-0.000850963020957;0.374923651984;1490978241.44
0.35;0.349;0.375172072883;0.374675231085;0.375172072883;0.374675231085;-0.000946365328984;0.374923651984;1490978241.46
0.35;0.349;0.37519649524;0.374650808728;0.37519649524;0.374650808728;-0.00103940288023;0.374923651984;1490978241.48
0.35;0.349;0.375215475277;0.374631828691;0.375215475277;0.374631828691;-0.00111170778331;0.374923651984;1490978241.5
0.374;0.373;0.375234368835;0.374612935133;0.375234368835;0.374612935133;-0.00118368324195;0.374923651984;1490978241.52
0.374;0.373;0.375253032249;0.374594271718;0.375253032249;0.374594271718;-0.00125478196411;0.374923651984;1490978241.54
0.374;0.373;0.375271328032;0.374575975935;0.375271328032;0.374575975935;-0.0013244801847;0.374923651984;1490978241.56
