xTrajPlanned;yTrajPlanned;thetaTrajPlanned;kappaTrajPlanned;vtransTrajPlanned;vrotTrajPlanned;indexTrajPlanned
14.1105375848;7.89861583668;0.00134676190409;0.0;0.4;0;0;0
14.1992708933;7.89873533939;0.00134676190409;0.0;0.4;0;0;0
14.2880042017;7.8988548421;0.00134676190409;0.0;0.4;0;0;0
14.3767375101;7.89897434481;0.00134676190409;0.0;0.4;0;0;0
14.4654708186;7.89909384752;0.00134676190409;0.0;0.4;0;0;0
14.554204127;7.89921335024;0.00134676190409;0.0;0.4;0;0;0
14.6429374355;7.89933285295;0.00134676190409;0.0;0.4;0;0;0
14.7316707439;7.89945235566;0.00134676190409;0.0;0.4;0;0;0
14.8204040524;7.89957185837;0.00134676190409;0.0;0.4;0;0;0
14.9091373608;7.89969136108;0.00134676190409;0.0;0.4;0;0;0
14.9978706693;7.8998108638;0.00134676190409;0.0;0.4;0;0;0
15.0866039777;7.89993036651;0.00134676190409;0.0;0.4;0;0;0
15.1753372861;7.90004986922;0.00134676190409;0.0;0.4;0;0;0
15.2640705946;7.90016937193;0.00134676190409;0.0;0.4;0;0;0
15.352803903;7.90028887464;0.00134676190409;0.0;0.4;0;0;0
15.4415372115;7.90040837735;0.00134676190409;0.0;0.4;0;0;0
15.5302705199;7.90052788007;0.00134676190409;0.0;0.4;0;0;0
15.6190038284;7.90064738278;0.00134676190409;0.0;0.4;0;0;0
15.7077371368;7.90076688549;0.00134676190409;0.0;0.4;0;0;0
15.7964704453;7.9008863882;0.00134676190409;0.0;0.4;0;0;0
15.8852037537;7.90100589091;0.00134676190409;0.0;0.4;0;0;0
15.9739370622;7.90112539362;0.00134676190409;0.0;0.4;0;0;0
16.0626703706;7.90124489634;0.00134676190409;0.0;0.4;0;0;0
16.151403679;7.90136439905;0.00134676190409;0.0;0.4;0;0;0
16.2401369875;7.90148390176;0.00134676190409;0.0;0.4;0;0;0
16.3288702959;7.90160340447;0.00134676190409;0.0;0.4;0;0;0
16.4176036044;7.90172290718;0.00134676190409;0.0;0.4;0;0;0
16.5063369128;7.90184240989;0.00134676190409;0.0;0.4;0;0;0
16.5950702213;7.90196191261;0.00134676190409;0.0;0.4;0;0;0
16.6838035297;7.90208141532;0.00134676190409;0.0;0.4;0;0;0
16.7725368382;7.90220091803;0.00134676190409;0.0;0.4;0;0;0
16.8612701466;7.90232042074;0.00134676190409;0.0;0.4;0;0;0
16.950003455;7.90243992345;0.00134676190409;0.0;0.4;0;0;0
17.0387367635;7.90255942616;0.00134676190409;0.0;0.4;0;0;0
17.1274700719;7.90267892888;0.00134676190409;0.0;0.4;0;0;0
17.2162033804;7.90279843159;0.00134676190409;0.0;0.4;0;0;0
17.3049366888;7.9029179343;0.00134676190409;0.0;0.4;0;0;0
17.3936699973;7.90303743701;0.00134676190409;0.0;0.4;0;0;0
17.4824033057;7.90315693972;0.00134676190409;0.0;0.4;0;0;0
17.5711366142;7.90327644243;0.00134676190409;0.0;0.4;0;0;0
17.6598699226;7.90339594515;0.00134676190409;0.0;0.4;0;0;0
17.748603231;7.90351544786;0.00134676190409;0.0;0.4;0;0;0
17.8373365395;7.90363495057;0.00134676190409;0.0;0.4;0;0;0
17.9260698479;7.90375445328;0.00134676190409;0.0;0.4;0;0;0
18.0148031564;7.90387395599;0.00134676190409;0.0;0.4;0;0;0
18.1035364648;7.9039934587;0.00134676190409;0.0;0.4;0;0;0
18.1922697733;7.90411296142;0.00134676190409;0.0;0.4;0;0;0
18.2810030817;7.90423246413;0.00134676190409;0.0;0.4;0;0;0
18.3697363902;7.90435196684;0.00134676190409;0.0;0.4;0;0;0
18.4584696986;7.90447146955;0.00134676190409;0.0;0.4;0;0;0
18.5472030071;7.90459097226;0.00134676190409;0.0;0.4;0;0;0
18.6359363155;7.90471047497;0.00134676190409;0.0;0.4;0;0;0
18.7246696239;7.90482997769;0.00134676190409;0.0;0.4;0;0;0
18.8134029324;7.9049494804;0.00134676190409;0.0;0.4;0;0;0
18.9021362408;7.90506898311;0.00134676190409;0.0;0.4;0;0;0
18.9908695493;7.90518848582;0.00134676190409;0.0;0.4;0;0;0
19.0796028577;7.90530798853;0.00134676190409;0.0;0.4;0;0;0
19.1683361662;7.90542749124;0.00134676190409;0.0;0.4;0;0;0
19.2570694746;7.90554699396;0.00134676190409;0.0;0.4;0;0;0
